PC1,PC2,PC3
70.7211443085393,414.21090898432385,135.26796349865504
-231.92554812957252,366.96658670216794,230.7810487378842
-384.9582403285675,234.24523504927222,-50.42612929609764
-140.17763309839415,-0.7183106825660213,-81.13159365273947
384.7401295126985,-1.623001728566541,151.5077448907746
345.5749680512413,433.2547895101938,-118.02090051045481
400.85986719810575,420.50008317583394,-84.21516120090878
351.1761593093208,-290.8639689310206,-9.983689812683096
282.53735768538564,281.86029205253493,-41.80575368786828
413.7313584936197,-311.6167832668737,4.821904574453945
-221.94943167747,-248.70073248218478,91.81585909889775
396.876615405157,145.23157280448905,-10.98425538192643
323.5303464957937,-108.17472036364595,-183.0926391819945
-328.4648188487365,441.7449670213375,-110.50571211716465
-214.565117004804,-368.92618193094535,58.24337285181304
-204.5208959098021,33.295934094769194,-18.992969489264592
-0.3650727962414999,403.78154656398954,-229.47481358321093
-291.3457342145357,412.5720187251061,-53.693427605275126
71.72164336944374,-325.7796227225725,-113.5091173814897
-300.5682042365126,-98.74334905649,-181.63390690525713
-45.38324587881836,124.85891101670852,132.03235817301953
155.39761752168766,-330.2092192456384,-183.89784502450541
226.38200314450128,436.4715219552852,157.5809801678759
151.3395008155481,392.0821997195633,207.6153701235423
-482.5451483673846,-276.1467650614337,-211.3743956321798
421.5268513649548,-385.73401433891956,-97.15834449254318
254.18075154403576,-407.8392194869947,-102.22975114799223
-350.3354454485344,424.53509990430285,207.95095292308775
116.24173705279003,-293.8116055005095,34.084294564114515
-183.39966247538237,-59.18753140350854,75.0746309079396
265.3921241650576,-61.61833430789661,-35.54701438815505
-49.26033554275652,106.00195299822066,199.30660466222517
-200.92042560106384,-384.6056185798043,222.32594519458982
-220.7125746144724,-238.1023882101955,-184.38321745865358
-186.16067263829245,432.77811430502857,142.3935607428841
-207.63990311210242,410.9313247635429,-153.90110395671502
477.8772778195018,238.90402382350726,-122.7598571113858
261.35366879102924,-470.58989274025936,33.511071014139894
-158.3380337492477,-146.14874850138239,121.38549614955556
-351.907517114741,153.0560850268621,-205.74399111527356
-224.90409036096483,-189.77206316615676,125.44846482991527
-435.3044371373648,427.28287943711996,-183.10688065142372
-394.7452568951786,164.27417464390365,118.37861351898496
366.4781393313091,-427.76995221902905,-38.411661491694
-41.61561763930212,397.9885764363778,-231.2779275034637
370.2545995290973,415.7454575789738,52.0586044351253
-328.1274156649157,-370.75436508013416,45.86447351648621
296.4516374177629,15.027146835338671,-86.52458287079479
453.3717150993329,-212.46231146277003,165.73208837218263
-226.63334338860776,-77.3044020100052,221.00543402539785
-99.3573502913784,-291.2232615511036,-35.61809177130994
-203.22848385336852,96.70477103405348,190.16592453128078
386.0494418806763,412.6442373136414,-207.5376963163191
154.61208104836336,-2.630803673482892,-105.69887905188423
174.50189831249313,-403.80514082267456,-94.4987336977252
17.35276357279584,118.0465661049931,-211.84480004837167
91.20910455720194,-151.08293034758034,100.26642551011561
-392.9032827486969,373.22530418626746,-122.22633500689604
158.3481774091078,-66.57099020298625,159.8679130598998
388.2486050697069,-315.748427845221,-220.91378798908815
-232.54615750496671,-271.6924474829898,-132.79470613279383
-382.4523411793995,291.35551667135917,24.261776582422716
-402.0917040563076,-186.50743414635852,-34.5517239629902
46.39761746164753,256.5859134854996,-149.3211279956031
-140.1915915810669,-262.7807387019277,-3.481063694844129
-336.77141867156655,-138.05096556080497,150.73725193480857
419.63238844362655,-57.10283152535581,-50.99403507119858
-229.61131734415895,446.6184660548602,211.89601242154384
38.70245771065226,415.08520468399996,4.598584115583478
42.66031769416844,-277.38462754292595,-219.57070253133742
-356.7918284598243,-101.3943342187337,68.44055979140401
-434.65359926654423,-294.98251721577043,0.7286240691487045
-332.4252145785226,39.86515421319898,-53.394956710907806
-100.16240629497946,-23.169068652364995,48.66883282637362
-136.56963447828056,399.4861377756757,121.64582321106987
-40.86567523289376,420.27253236184623,140.0936200801508
-79.93388585532843,-97.64410351562425,195.61611701913984
-200.46314023577523,13.166778315336874,-44.4673029444536
164.16130826707192,372.4495145607033,91.08373912770634
-47.37595334588145,301.75766310727084,-21.185238506389098
-197.6458201355342,-451.15616224038973,26.97548273073709
59.45555252108673,-170.7958328787549,-206.11961644863592
-233.93843138366526,-50.50917343143806,35.260989960925805
448.219256488202,-284.5540619677227,-146.92403297746478
-37.33257589402855,-275.245065366362,127.42140527334959
-110.48867813357766,-425.65338968929404,-46.35464304826713
199.90851629870298,128.92804785155795,55.42890283693522
