iter	Passed	Remaining
532	1928	1690
533	1931	1685
534	1934	1681
535	1938	1677
536	1941	1673
537	1943	1669
538	1946	1664
539	1949	1660
540	1952	1656
541	1955	1652
542	1958	1648
543	1961	1644
544	1964	1639
545	1967	1635
546	1970	1631
547	1973	1627
548	1976	1623
549	1979	1619
550	1982	1615
551	1985	1611
552	1988	1607
553	1991	1603
554	1994	1598
555	1997	1594
556	2000	1590
557	2003	1586
558	2006	1582
559	2009	1578
560	2011	1574
561	2015	1570
562	2018	1566
563	2021	1562
564	2024	1558
565	2027	1554
566	2030	1550
567	2034	1546
568	2036	1542
569	2039	1538
570	2042	1534
571	2045	1530
572	2048	1526
573	2051	1522
574	2054	1518
575	2057	1514
576	2060	1510
577	2063	1506
578	2066	1502
579	2069	1498
580	2072	1494
581	2075	1490
582	2078	1486
583	2081	1482
584	2084	1478
585	2087	1474
586	2090	1470
587	2092	1466
588	2096	1462
589	2098	1458
590	2101	1454
591	2104	1450
592	2107	1446
593	2110	1442
594	2112	1438
595	2115	1434
596	2118	1429
597	2121	1425
598	2123	1421
599	2126	1417
600	2129	1413
601	2132	1409
602	2135	1405
603	2137	1401
604	2140	1397
605	2143	1393
606	2146	1389
607	2149	1385
608	2151	1381
609	2154	1377
610	2157	1373
611	2160	1369
612	2163	1365
613	2166	1361
614	2168	1357
615	2171	1353
616	2174	1349
617	2177	1346
618	2180	1342
619	2183	1338
620	2185	1334
621	2189	1330
622	2192	1327
623	2195	1323
624	2198	1319
625	2201	1315
626	2204	1311
627	2207	1307
628	2210	1303
629	2213	1299
630	2215	1295
631	2218	1291
632	2221	1287
633	2224	1284
634	2226	1280
635	2229	1276
636	2232	1272
637	2234	1268
638	2237	1264
639	2240	1260
640	2243	1256
641	2246	1252
642	2248	1248
643	2251	1244
644	2254	1240
645	2257	1237
646	2260	1233
647	2263	1229
648	2265	1225
649	2268	1221
650	2271	1217
651	2274	1214
652	2277	1210
653	2280	1206
654	2282	1202
655	2285	1198
656	2288	1194
657	2291	1191
658	2294	1187
659	2297	1183
660	2300	1179
661	2303	1175
662	2305	1172
663	2308	1168
664	2311	1164
665	2314	1160
666	2317	1157
667	2320	1153
668	2323	1149
669	2326	1145
670	2329	1142
671	2332	1138
672	2335	1134
673	2338	1131
674	2341	1127
675	2344	1123
676	2346	1119
677	2350	1116
678	2353	1112
679	2355	1108
680	2358	1104
681	2361	1101
682	2364	1097
683	2367	1093
684	2369	1089
685	2372	1086
686	2375	1082
687	2378	1078
688	2381	1074
689	2384	1071
690	2386	1067
691	2389	1063
692	2392	1059
693	2395	1056
694	2397	1052
695	2400	1048
696	2403	1044
697	2405	1040
698	2408	1037
699	2411	1033
700	2414	1029
701	2417	1026
702	2419	1022
703	2422	1018
704	2425	1014
705	2428	1011
706	2431	1007
707	2433	1003
708	2436	1000
709	2439	996
710	2442	992
711	2445	989
712	2448	985
713	2451	981
714	2454	978
715	2456	974
716	2459	970
717	2462	967
718	2465	963
719	2468	960
720	2471	956
721	2474	952
722	2477	949
723	2480	945
724	2482	941
725	2485	938
726	2488	934
727	2490	930
728	2493	927
729	2496	923
730	2499	919
731	2501	916
732	2504	912
733	2507	908
734	2510	905
735	2513	901
736	2516	898
737	2519	894
738	2522	890
739	2525	887
740	2528	883
741	2530	880
742	2533	876
743	2536	872
744	2539	869
745	2542	865
746	2545	862
747	2548	858
748	2550	854
749	2553	851
750	2556	847
751	2559	844
752	2563	840
753	2566	837
754	2569	833
755	2572	830
756	2575	826
757	2578	823
758	2580	819
759	2583	815
760	2586	812
761	2589	808
762	2592	805
763	2594	801
764	2597	797
765	2600	794
766	2603	790
767	2606	787
768	2608	783
769	2611	780
770	2614	776
771	2616	772
772	2619	769
773	2622	765
774	2625	762
775	2628	758
776	2630	755
777	2633	751
778	2636	747
779	2639	744
780	2642	740
781	2644	737
782	2647	733
783	2650	730
784	2653	726
785	2656	723
786	2658	719
787	2661	716
788	2664	712
789	2667	708
790	2670	705
791	2672	701
792	2675	698
793	2678	694
794	2680	691
795	2683	687
796	2686	684
797	2689	680
798	2692	677
799	2694	673
800	2697	670
801	2700	666
802	2703	663
803	2706	659
804	2709	656
805	2711	652
806	2714	649
807	2717	645
808	2720	642
809	2722	638
810	2725	635
811	2728	631
812	2731	628
813	2734	624
814	2736	621
815	2739	617
816	2742	614
817	2744	610
818	2747	607
819	2750	603
820	2753	600
821	2756	596
822	2759	593
823	2761	589
824	2764	586
825	2767	583
826	2770	579
827	2773	576
828	2775	572
829	2778	569
830	2781	565
831	2784	562
832	2787	558
833	2789	555
834	2792	551
835	2795	548
836	2798	544
837	2801	541
838	2804	538
839	2806	534
840	2809	531
841	2812	527
842	2815	524
843	2818	520
844	2820	517
845	2823	513
846	2826	510
847	2829	507
848	2832	503
849	2834	500
850	2837	496
851	2840	493
852	2842	489
853	2845	486
854	2848	483
855	2851	479
856	2853	476
857	2856	472
858	2859	469
859	2862	466
860	2865	462
861	2868	459
862	2870	455
863	2873	452
864	2876	448
865	2879	445
866	2881	442
867	2884	438
868	2887	435
869	2890	431
870	2893	428
871	2895	425
872	2898	421
873	2901	418
874	2904	414
875	2907	411
876	2910	408
877	2912	404
878	2915	401
879	2918	397
880	2920	394
881	2924	391
882	2926	387
883	2929	384
884	2932	381
885	2935	377
886	2937	374
887	2940	370
888	2943	367
889	2946	364
890	2949	360
891	2951	357
892	2954	354
893	2957	350
894	2960	347
895	2963	343
896	2965	340
897	2968	337
898	2971	333
899	2974	330
900	2976	327
901	2979	323
902	2982	320
903	2985	316
904	2988	313
905	2991	310
906	2994	307
907	2996	303
908	2999	300
909	3002	296
910	3005	293
911	3008	290
912	3010	286
913	3013	283
914	3016	280
915	3020	276
916	3022	273
917	3025	270
918	3028	266
919	3031	263
920	3033	260
921	3037	256
922	3039	253
923	3042	250
924	3045	246
925	3047	243
926	3050	240
927	3053	236
928	3056	233
929	3059	230
930	3061	226
931	3064	223
932	3067	220
933	3070	216
934	3073	213
935	3076	210
936	3078	207
937	3081	203
938	3084	200
939	3087	197
940	3090	193
941	3092	190
942	3095	187
943	3098	183
944	3101	180
945	3104	177
946	3106	173
947	3109	170
948	3112	167
949	3115	163
950	3118	160
951	3120	157
952	3123	154
953	3126	150
954	3128	147
955	3131	144
956	3134	140
957	3137	137
958	3140	134
959	3143	130
960	3145	127
961	3149	124
962	3151	121
963	3154	117
964	3157	114
965	3159	111
966	3162	107
967	3165	104
968	3168	101
969	3171	98
970	3173	94
971	3176	91
972	3179	88
973	3182	84
974	3185	81
975	3188	78
976	3191	75
977	3193	71
978	3196	68
979	3199	65
980	3202	62
981	3204	58
982	3207	55
983	3210	52
984	3213	48
985	3216	45
986	3218	42
987	3221	39
988	3224	35
989	3227	32
990	3229	29
991	3232	26
992	3235	22
993	3238	19
994	3241	16
995	3244	13
996	3246	9
997	3249	6
998	3252	3
999	3255	0
